"";"Stadtteil";"Spiel100K";"baugenehm12"
"1";"Altstadt";"(1.87,2.7]";NA
"2";"Innenstadt";"(1.87,2.7]";NA
"3";"Bahnhofsviertel";"(0.198,1.03]";NA
"4";"Westend-Süd";"(0.198,1.03]";NA
"5";"Westend-Nord";"(0.198,1.03]";NA
"6";"Nordend-West";"(0.198,1.03]";NA
"7";"Nordend-Ost";"(0.198,1.03]";NA
"8";"Ostend";"(0.198,1.03]";NA
"9";"Bornheim";"(0.198,1.03]";NA
"10";"Gutleutviertel";"(1.03,1.87]";NA
"11";"Gallus";"(0.198,1.03]";NA
"12";"Bockenheim";"(0.198,1.03]";NA
"13";"Sachsenhausen-Nord";"(0.198,1.03]";NA
"14";"Sachsenhausen-Süd";"(0.198,1.03]";NA
"15";"Oberrad";"(0.198,1.03]";NA
"16";"Niederrad";"(0.198,1.03]";"sehr wenig"
"17";"Schwanheim";"(0.198,1.03]";NA
"18";"Griesheim";"(0.198,1.03]";"sehr wenig"
"19";"Rödelheim";"(0.198,1.03]";NA
"20";"Hausen";"(0.198,1.03]";NA
"21";"Praunheim";"(1.03,1.87]";NA
"22";"Heddernheim";"(0.198,1.03]";NA
"23";"Niederursel";"(1.03,1.87]";NA
"24";"Ginnheim";"(0.198,1.03]";NA
"25";"Dornbusch";"(0.198,1.03]";NA
"26";"Eschersheim";"(0.198,1.03]";NA
"27";"Eckenheim";"(0.198,1.03]";"sehr wenig"
"28";"Preungesheim";"(0.198,1.03]";"sehr wenig"
"29";"Bonames";"(0.198,1.03]";NA
"30";"Berkersheim";"(0.198,1.03]";NA
"31";"Riederwald";"(0.198,1.03]";NA
"32";"Seckbach";"(0.198,1.03]";NA
"33";"Fechenheim";"(0.198,1.03]";"sehr wenig"
"34";"Höchst";"(0.198,1.03]";"sehr wenig"
"35";"Nied";"(0.198,1.03]";"sehr wenig"
"36";"Sindlingen";"(0.198,1.03]";NA
"37";"Zeilsheim";"(0.198,1.03]";NA
"38";"Unterliederbach";"(0.198,1.03]";"sehr wenig"
"39";"Sossenheim";"(0.198,1.03]";"sehr wenig"
"40";"Nieder-Erlenbach";"(0.198,1.03]";"sehr wenig"
"41";"Kalbach-Riedberg";"(0.198,1.03]";"wenig"
"42";"Harheim";"(1.03,1.87]";NA
"43";"Nieder-Eschbach";"(0.198,1.03]";NA
"44";"Bergen-Enkheim";"(0.198,1.03]";"sehr wenig"
"45";"Frankfurter Berg";"(0.198,1.03]";"sehr wenig"
"46";"Frankfurt am Main";"(0.198,1.03]";"viele"
