"Stadtteil" "x" "y"
"1" "Altstadt" 8.68293572698541 50.11104545
"2" "Innenstadt" 8.67492196213115 50.11287765
"3" "Bahnhofsviertel" 8.66873601221096 50.10774145
"4" "Westend-Süd" 8.6622696 50.1152448
"5" "Westend-Nord" 8.6679209 50.1263563
"6" "Nordend-West" 8.67795 50.1249136
"7" "Nordend-Ost" 8.6923167 50.1249197
"8" "Ostend" 2.919496 51.2258565
"9" "Bornheim" 6.9890508 50.7627913
"10" "Gutleutviertel" 8.65076020625548 50.0978128
"11" "Gallus" -1.11627042799678 42.79483535
"12" "Bockenheim" 8.63753199693013 50.12236065
"13" "Sachsenhausen-Nord" 8.67336208063444 50.0978128
"14" "Sachsenhausen-Süd" 8.68316343986084 50.07055445
"15" "Oberrad" 8.72740333345432 50.0987908
"16" "Niederrad" 8.63952576210809 50.08647665
"17" "Schwanheim" 8.57867983191661 50.0829548
"18" "Griesheim" 7.667722 48.63551
"19" "Rödelheim" 8.60627805861801 50.12754395
"20" "Hausen" 7.3790238 48.1258756
"21" "Praunheim" 8.61673665290379 50.1471948
"22" "Heddernheim" 8.6415285560116 50.15859945
"23" "Niederursel" 8.62234834505413 50.16898715
"24" "Ginnheim" 8.64915293192666 50.14506905
"25" "Dornbusch" 8.66972868973255 50.14717045
"26" "Eschersheim" 8.66261247862046 50.1612049
"27" "Eckenheim" 8.68237112573952 50.15156345
"28" "Preungesheim" 8.69908389304919 50.1534246
"29" "Bonames" 8.66409650339045 50.18235405
"30" "Berkersheim" 8.70119132512906 50.1711657
"31" "Riederwald" 8.73392440477122 50.1263722
"32" "Seckbach" 8.7258861 50.1434285
"33" "Fechenheim" 8.75822940382048 50.1256421
"34" "Höchst" 8.53844921885897 50.0976871
"35" "Nied" 6.538707 49.2970482
"36" "Sindlingen" 8.51172312566463 50.0775892
"37" "Zeilsheim" 8.4960465922122 50.09750985
"38" "Unterliederbach" 8.52286237955801 50.1096205
"39" "Sossenheim" 8.57331436636195 50.1210866
"40" "Nieder-Erlenbach" 8.70679992202406 50.2087835
"41" "Kalbach-Riedberg" 8.6320784 50.1766221
"42" "Harheim" 8.69044546018167 50.18558935
"43" "Nieder-Eschbach" 8.66714625072703 50.2013339
"44" "Bergen-Enkheim" 8.76255510785864 50.1576717
"45" "Frankfurter Berg" 8.67565802894848 50.17066305
"46" "Frankfurt am Main" 8.6820917 50.1106444
